epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
9,25/02/2020,1,SP,São Paulo,3550308,city,1,0.00816,1,0,0,0.0,12252023,False,False
9,26/02/2020,2,SP,São Paulo,3550308,city,1,0.00816,0,0,0,0.0,12252023,False,False
9,27/02/2020,3,SP,São Paulo,3550308,city,1,0.00816,0,0,0,0.0,12252023,False,False
9,28/02/2020,4,SP,São Paulo,3550308,city,2,0.01632,1,0,0,0.0,12252023,False,False
9,29/02/2020,5,SP,São Paulo,3550308,city,2,0.01632,0,0,0,0.0,12252023,False,False
10,01/03/2020,6,SP,São Paulo,3550308,city,2,0.01632,0,0,0,0.0,12252023,False,False
10,02/03/2020,7,SP,São Paulo,3550308,city,2,0.01632,0,0,0,0.0,12252023,False,False
10,03/03/2020,8,SP,São Paulo,3550308,city,2,0.01632,0,0,0,0.0,12252023,False,False
10,04/03/2020,9,SP,São Paulo,3550308,city,3,0.02449,1,0,0,0.0,12252023,False,False
10,05/03/2020,10,SP,São Paulo,3550308,city,6,0.04897,3,0,0,0.0,12252023,False,False
10,06/03/2020,11,SP,São Paulo,3550308,city,6,0.04897,0,0,0,0.0,12252023,False,True
10,07/03/2020,1,SP,Santana de Parnaíba,3547304,city,1,0.71712,1,0,0,0.0,139447,False,False
10,07/03/2020,12,SP,São Paulo,3550308,city,12,0.09794,6,0,0,0.0,12252023,False,False
11,08/03/2020,2,SP,Santana de Parnaíba,3547304,city,1,0.71712,0,0,0,0.0,139447,False,False
11,08/03/2020,13,SP,São Paulo,3550308,city,15,0.12243,3,0,0,0.0,12252023,False,False
11,09/03/2020,3,SP,Santana de Parnaíba,3547304,city,1,0.71712,0,0,0,0.0,139447,False,False
11,09/03/2020,14,SP,São Paulo,3550308,city,15,0.12243,0,0,0,0.0,12252023,False,False
11,10/03/2020,4,SP,Santana de Parnaíba,3547304,city,1,0.71712,0,0,0,0.0,139447,False,False
11,10/03/2020,15,SP,São Paulo,3550308,city,18,0.14691,3,0,0,0.0,12252023,False,False
11,11/03/2020,5,SP,Santana de Parnaíba,3547304,city,1,0.71712,0,0,0,0.0,139447,False,False
11,11/03/2020,16,SP,São Paulo,3550308,city,29,0.2367,11,0,0,0.0,12252023,False,False
11,12/03/2020,1,SP,Ferraz de Vasconcelos,3515707,city,1,0.51473,1,0,0,0.0,194276,False,False
11,12/03/2020,6,SP,Santana de Parnaíba,3547304,city,1,0.71712,0,0,0,0.0,139447,False,False
11,12/03/2020,17,SP,São Paulo,3550308,city,44,0.35912,15,0,0,0.0,12252023,False,False
11,13/03/2020,2,SP,Ferraz de Vasconcelos,3515707,city,1,0.51473,0,0,0,0.0,194276,False,True
11,13/03/2020,7,SP,Santana de Parnaíba,3547304,city,1,0.71712,0,0,0,0.0,139447,False,True
11,13/03/2020,18,SP,São Paulo,3550308,city,44,0.35912,0,0,0,0.0,12252023,False,True
11,14/03/2020,1,SP,Carapicuíba,3510609,city,1,0.24942,1,0,0,0.0,400927,False,False
11,14/03/2020,3,SP,Ferraz de Vasconcelos,3515707,city,1,0.51473,0,0,0,0.0,194276,False,False
11,14/03/2020,8,SP,Santana de Parnaíba,3547304,city,1,0.71712,0,0,0,0.0,139447,False,False
11,14/03/2020,19,SP,São Paulo,3550308,city,62,0.50604,18,0,0,0.0,12252023,False,False
12,15/03/2020,2,SP,Carapicuíba,3510609,city,1,0.24942,0,0,0,0.0,400927,False,True
12,15/03/2020,4,SP,Ferraz de Vasconcelos,3515707,city,1,0.51473,0,0,0,0.0,194276,False,True
12,15/03/2020,9,SP,Santana de Parnaíba,3547304,city,1,0.71712,0,0,0,0.0,139447,False,True
12,15/03/2020,20,SP,São Paulo,3550308,city,62,0.50604,0,0,0,0.0,12252023,False,True
12,16/03/2020,3,SP,Carapicuíba,3510609,city,1,0.24942,0,0,0,0.0,400927,False,False
12,16/03/2020,5,SP,Ferraz de Vasconcelos,3515707,city,1,0.51473,0,0,0,0.0,194276,False,False
12,16/03/2020,1,SP,Mauá,3529401,city,1,0.21146,1,0,0,0.0,472912,False,False
12,16/03/2020,10,SP,Santana de Parnaíba,3547304,city,1,0.71712,0,0,0,0.0,139447,False,False
12,16/03/2020,1,SP,Santo André,3547809,city,1,0.13913,1,0,0,0.0,718773,False,False
12,16/03/2020,1,SP,São Bernardo do Campo,3548708,city,1,0.1192,1,0,0,0.0,838936,False,False
12,16/03/2020,1,SP,São Caetano do Sul,3548807,city,1,0.62063,1,0,0,0.0,161127,False,False
12,16/03/2020,21,SP,São Paulo,3550308,city,145,118.348,83,0,0,0.0,12252023,False,False
12,17/03/2020,4,SP,Carapicuíba,3510609,city,1,0.24942,0,0,0,0.0,400927,False,False
12,17/03/2020,6,SP,Ferraz de Vasconcelos,3515707,city,1,0.51473,0,0,0,0.0,194276,False,False
12,17/03/2020,1,SP,Guarulhos,3518800,city,1,0.07251,1,0,0,0.0,1379182,False,False
